Module	Section	Sample Name	Source
Samtools	flagstat	GSM1937970_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937970/GSM1937970_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM1937972_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM1937971_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937971/GSM1937971_cutadapt_bowtie2_bam_stats.txt
Bowtie 2 / HiSAT2	all_sections	GSM1937970_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937970/GSM1937970_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM1937972_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM1937971_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937971/GSM1937971_cutadapt_bowtie2.log
Cutadapt	all_sections	GSM1937970	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937970/GSM1937970.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM1937972	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM1937971	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937971/GSM1937971_cutadapt.log
FastQC	all_sections	GSM1937970	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937970/GSM1937970_fastq.gz_qc/GSM1937970_fastqc.zip
FastQC	all_sections	GSM1937970_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937970/GSM1937970_cutadapt_bowtie2_bam_qc/GSM1937970_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM1937970_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937970/GSM1937970_cutadapt_fastq.gz_qc/GSM1937970_cutadapt_fastqc.zip
FastQC	all_sections	GSM1937972_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_cutadapt_fastq.gz_qc/GSM1937972_cutadapt_fastqc.zip
FastQC	all_sections	GSM1937972_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_cutadapt_bowtie2_bam_qc/GSM1937972_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM1937972	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_fastq.gz_qc/GSM1937972_fastqc.zip
FastQC	all_sections	GSM1937971_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937971/GSM1937971_cutadapt_fastq.gz_qc/GSM1937971_cutadapt_fastqc.zip
FastQC	all_sections	GSM1937971_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937971/GSM1937971_cutadapt_bowtie2_bam_qc/GSM1937971_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM1937971	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937971/GSM1937971_fastq.gz_qc/GSM1937971_fastqc.zip
