Module	Section	Sample Name	Source
Samtools	flagstat	GSM3043063_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043063/GSM3043063_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043099_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043099/GSM3043099_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043064_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043064/GSM3043064_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043100_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043100/GSM3043100_cutadapt_bowtie2_bam_stats.txt
Bowtie 2 / HiSAT2	all_sections	GSM3043063_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043063/GSM3043063_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043099_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043099/GSM3043099_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043064_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043064/GSM3043064_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043100_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043100/GSM3043100_cutadapt_bowtie2.log
Cutadapt	all_sections	GSM3043063_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043063/GSM3043063_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043063_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043063/GSM3043063_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043099_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043099/GSM3043099_cutadapt.log
