Module	Section	Sample Name	Source
Samtools	flagstat	GSM3043061_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043061/GSM3043061_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043097_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043097/GSM3043097_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043062_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043062/GSM3043062_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043098_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043098/GSM3043098_cutadapt_bowtie2_bam_stats.txt
Bowtie 2 / HiSAT2	all_sections	GSM3043061_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043061/GSM3043061_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043097_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043097/GSM3043097_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043062_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043062/GSM3043062_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043098_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043098/GSM3043098_cutadapt_bowtie2.log
Cutadapt	all_sections	GSM3043061_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043061/GSM3043061_cutadapt.log
Cutadapt	all_sections	GSM3043061_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043061/GSM3043061_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043097_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043097/GSM3043097_cutadapt.log
Cutadapt	all_sections	GSM3043097_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043097/GSM3043097_cutadapt.log
Cutadapt	all_sections	GSM3043062_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043062/GSM3043062_cutadapt.log
Cutadapt	all_sections	GSM3043062_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043062/GSM3043062_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043098_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043098/GSM3043098_cutadapt.log
Cutadapt	all_sections	GSM3043098_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043098/GSM3043098_2.fastq.gz_trimming_report.txt
FastQC	all_sections	GSM3043061_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043061/GSM3043061_cutadapt_bowtie2_bam_qc/GSM3043061_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043061_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043061/GSM3043061_cutadapt_1_fastq.gz_qc/GSM3043061_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043061_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043061/GSM3043061_2_fastq.gz_qc/GSM3043061_2_fastqc.zip
FastQC	all_sections	GSM3043061_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043061/GSM3043061_1_fastq.gz_qc/GSM3043061_1_fastqc.zip
FastQC	all_sections	GSM3043061_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043061/GSM3043061_cutadapt_2_fastq.gz_qc/GSM3043061_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043097_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043097/GSM3043097_cutadapt_bowtie2_bam_qc/GSM3043097_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043097_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043097/GSM3043097_2_fastq.gz_qc/GSM3043097_2_fastqc.zip
FastQC	all_sections	GSM3043097_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043097/GSM3043097_1_fastq.gz_qc/GSM3043097_1_fastqc.zip
FastQC	all_sections	GSM3043097_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043097/GSM3043097_cutadapt_1_fastq.gz_qc/GSM3043097_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043097_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043097/GSM3043097_cutadapt_2_fastq.gz_qc/GSM3043097_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043062_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043062/GSM3043062_2_fastq.gz_qc/GSM3043062_2_fastqc.zip
FastQC	all_sections	GSM3043062_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043062/GSM3043062_cutadapt_2_fastq.gz_qc/GSM3043062_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043062_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043062/GSM3043062_cutadapt_bowtie2_bam_qc/GSM3043062_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043062_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043062/GSM3043062_1_fastq.gz_qc/GSM3043062_1_fastqc.zip
FastQC	all_sections	GSM3043062_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043062/GSM3043062_cutadapt_1_fastq.gz_qc/GSM3043062_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043098_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043098/GSM3043098_1_fastq.gz_qc/GSM3043098_1_fastqc.zip
FastQC	all_sections	GSM3043098_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043098/GSM3043098_2_fastq.gz_qc/GSM3043098_2_fastqc.zip
