Module	Section	Sample Name	Source
Samtools	flagstat	GSM1937967_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937967/GSM1937967_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM1937972_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM1937968_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937968/GSM1937968_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM1937969_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937969/GSM1937969_cutadapt_bowtie2_bam_stats.txt
Bowtie 2 / HiSAT2	all_sections	GSM1937967_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937967/GSM1937967_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM1937972_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM1937968_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937968/GSM1937968_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM1937969_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937969/GSM1937969_cutadapt_bowtie2.log
Cutadapt	all_sections	GSM1937967	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937967/GSM1937967_cutadapt.log
Cutadapt	all_sections	GSM1937972	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM1937968	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937968/GSM1937968_cutadapt.log
Cutadapt	all_sections	GSM1937969	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937969/GSM1937969_cutadapt.log
FastQC	all_sections	GSM1937967_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937967/GSM1937967_cutadapt_fastq.gz_qc/GSM1937967_cutadapt_fastqc.zip
FastQC	all_sections	GSM1937967_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937967/GSM1937967_cutadapt_bowtie2_bam_qc/GSM1937967_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM1937967	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937967/GSM1937967_fastq.gz_qc/GSM1937967_fastqc.zip
FastQC	all_sections	GSM1937972_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_cutadapt_fastq.gz_qc/GSM1937972_cutadapt_fastqc.zip
FastQC	all_sections	GSM1937972_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_cutadapt_bowtie2_bam_qc/GSM1937972_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM1937972	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937972/GSM1937972_fastq.gz_qc/GSM1937972_fastqc.zip
FastQC	all_sections	GSM1937968_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937968/GSM1937968_cutadapt_bowtie2_bam_qc/GSM1937968_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM1937968	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937968/GSM1937968_fastq.gz_qc/GSM1937968_fastqc.zip
FastQC	all_sections	GSM1937968_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937968/GSM1937968_cutadapt_fastq.gz_qc/GSM1937968_cutadapt_fastqc.zip
FastQC	all_sections	GSM1937969	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937969/GSM1937969_fastq.gz_qc/GSM1937969_fastqc.zip
FastQC	all_sections	GSM1937969_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937969/GSM1937969_cutadapt_bowtie2_bam_qc/GSM1937969_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM1937969_cutadapt	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE74932/samples/GSM1937969/GSM1937969_cutadapt_fastq.gz_qc/GSM1937969_cutadapt_fastqc.zip
